timestamp_revisao,nome_revisor,char_beneficiario_aprovado,makers_aprovados,filenames_associados,acao
2025-05-13T11:54:04.988632,diegodeabreu,Joaomaluf,"Malufianta Testoalta,Jhony Testoalta","20250513_110026_237896_B_Joaomaluf_M1_Malufianta_Testoalta_img1.png,20250513_110026_237896_B_Joaomaluf_M2_Jhony_Testoalta_img2.png",Aprovado
2025-05-13T11:54:22.294960,diegodeabreu,Drag Roy,"Drag Roy,Joseph Rich","20250513_104521_382997_B_Drag_Roy_M1_Drag_Roy_img1.png,20250513_104521_382997_B_Drag_Roy_M2_Joseph_Rich_img2.png",Aprovado
2025-05-13T11:54:53.422383,diegodeabreu,Doutor Milagre,"Doutor Milagre,Demon xybra dois","20250513_103842_074255_B_Doutor_Milagre_M1_Doutor_Milagre_img1.png,20250513_103842_074255_B_Doutor_Milagre_M2_Demon_xybra_dois_img2.png",Aprovado
2025-05-13T11:55:18.782247,diegodeabreu,Will,"Jardison Reidelas,Poder Ilimitado","20250513_103523_968455_B_Will_M1_Jardison_Reidelas_img1.png,20250513_103523_968455_B_Will_M2_Poder_Ilimitado_img2.png",Aprovado
2025-05-13T11:55:33.212372,diegodeabreu,RINMA,"Rinmazera,Uit de Hel","20250513_115505_502937_B_RINMA_M1_Rinmazera_img1.jpeg,20250513_115505_502937_B_RINMA_M2_Uit_de_Hel_img2.jpeg",Aprovado
2025-05-13T12:01:06.796132,diegodeabreu,Avanti Nex,"Avanti Nex,Alyss Maphar","20250513_102947_532101_B_Avanti_Nex_M1_Avanti_Nex_img1.png,20250513_102947_532101_B_Avanti_Nex_M2_Alyss_Maphar_img2.png",Aprovado
2025-05-13T12:01:47.590965,diegodeabreu,Walker - Serviceiro ED/MS,"Ualker,Ardope Airix","20250513_115839_726197_B_Walker__Serviceiro_EDMS_M1_Ualker_img1.png,20250513_115839_726197_B_Walker__Serviceiro_EDMS_M2_Ardope_Airix_img2.jpg",Aprovado
2025-05-13T12:03:12.654389,diegodeabreu,Ensalada Xybra,"Ensalada Xybra,Monk Ensalada","20250513_101015_909943_B_Ensalada_Xybra_M1_Ensalada_Xybra_img1.png,20250513_101015_909943_B_Ensalada_Xybra_M2_Monk_Ensalada_img2.png",Aprovado
2025-05-13T12:03:40.007173,diegodeabreu,Baum so,"Baum so,Punho Silencioso","20250513_061756_317742_B_Baum_so_M1_Baum_so_img1.jpg,20250513_061756_317742_B_Baum_so_M2_Punho_Silencioso_img2.jpg",Aprovado
2025-05-13T12:07:22.532064,diegodeabreu,Almirante,"Almirante on Xybra,Gzik","20250513_100848_108016_B_Almirante_M1_Almirante_on_Xybra_img1.jpg,20250513_100848_108016_B_Almirante_M2_Gzik_img2.jpg",Aprovado
